FID;Id;Name;Descript;Type;Comment;Symbol;DateTimeS;Elevation;Y;X
0;0;ACTIVE LOG 025; ;TRKPT; ; ;2017-08-16T09:34:40Z;1138,819091800000024;7536380,0000000;651250,0000000
1;0;ACTIVE LOG 025; ;TRKPT; ; ;2017-08-16T09:36:10Z;1151,316162110000050;7536360,0000000;651240,0000000
2;0;ACTIVE LOG 025; ;TRKPT; ; ;2017-08-16T09:39:17Z;1179,674804689999974;7536370,0000000;651218,0000000
3;0;ACTIVE LOG 025; ;TRKPT; ; ;2017-08-16T09:42:54Z;1186,884765629999947;7536370,0000000;651208,0000000
4;0;ACTIVE LOG 025; ;TRKPT; ; ;2017-08-16T09:47:21Z;1196,978759769999897;7536380,0000000;651180,0000000
5;0;ACTIVE LOG 025; ;TRKPT; ; ;2017-08-16T09:55:25Z;1197,459472660000074;7536390,0000000;651118,0000000
6;0;ACTIVE LOG 025; ;TRKPT; ; ;2017-08-16T10:00:03Z;1205,630615230000103;7536380,0000000;651068,0000000
7;0;ACTIVE LOG 025; ;TRKPT; ; ;2017-08-16T10:03:01Z;1211,398437500000000;7536380,0000000;651061,0000000
8;0;ACTIVE LOG 025; ;TRKPT; ; ;2017-08-16T10:03:46Z;1211,879150389999950;7536390,0000000;651030,0000000
9;0;ACTIVE LOG 025; ;TRKPT; ; ;2017-08-16T10:04:22Z;1219,569824220000100;7536390,0000000;651021,0000000
10;0;ACTIVE LOG 025; ;TRKPT; ; ;2017-08-16T10:07:01Z;1227,740722660000074;7536380,0000000;650987,0000000
11;0;ACTIVE LOG 025; ;TRKPT; ; ;2017-08-16T10:09:00Z;1233,028076170000077;7536380,0000000;650977,0000000
12;0;ACTIVE LOG 025; ;TRKPT; ; ;2017-08-16T10:11:48Z;1243,602539060000026;7536390,0000000;650940,0000000
13;0;ACTIVE LOG 025; ;TRKPT; ; ;2017-08-16T10:14:58Z;1243,602539060000026;7536380,0000000;650927,0000000
14;0;ACTIVE LOG 025; ;TRKPT; ; ;2017-08-16T10:15:13Z;1241,679931639999950;7536380,0000000;650914,0000000
15;0;ACTIVE LOG 025; ;TRKPT; ; ;2017-08-16T10:15:26Z;1240,718505860000050;7536380,0000000;650903,0000000
16;0;ACTIVE LOG 025; ;TRKPT; ; ;2017-08-16T10:18:35Z;1246,486816410000074;7536380,0000000;650875,0000000
17;0;ACTIVE LOG 025; ;TRKPT; ; ;2017-08-16T10:19:24Z;1252,735107420000077;7536390,0000000;650863,0000000
18;0;ACTIVE LOG 025; ;TRKPT; ; ;2017-08-16T10:22:13Z;1270,038818360000050;7536390,0000000;650849,0000000
19;0;ACTIVE LOG 025; ;TRKPT; ; ;2017-08-16T10:23:00Z;1271,000244139999950;7536400,0000000;650816,0000000
20;0;ACTIVE LOG 025; ;TRKPT; ; ;2017-08-16T10:27:26Z;1278,690917970000100;7536400,0000000;650765,0000000
21;0;ACTIVE LOG 025; ;TRKPT; ; ;2017-08-16T10:29:52Z;1277,249023439999974;7536400,0000000;650742,0000000
22;0;ACTIVE LOG 025; ;TRKPT; ; ;2017-08-16T10:30:03Z;1276,287597660000074;7536400,0000000;650732,0000000
23;0;ACTIVE LOG 025; ;TRKPT; ; ;2017-08-16T10:34:52Z;1281,094238279999900;7536400,0000000;650713,0000000
24;0;ACTIVE LOG 025; ;TRKPT; ; ;2017-08-16T10:35:05Z;1281,574707029999900;7536400,0000000;650703,0000000
25;0;ACTIVE LOG 025; ;TRKPT; ; ;2017-08-16T10:35:19Z;1284,939453129999947;7536410,0000000;650693,0000000
26;0;ACTIVE LOG 025; ;TRKPT; ; ;2017-08-16T10:35:31Z;1286,381347660000074;7536410,0000000;650683,0000000
27;0;ACTIVE LOG 025; ;TRKPT; ; ;2017-08-16T10:38:50Z;1292,149414060000026;7536400,0000000;650674,0000000
28;0;ACTIVE LOG 025; ;TRKPT; ; ;2017-08-16T10:39:03Z;1295,513916019999897;7536410,0000000;650664,0000000
29;0;ACTIVE LOG 025; ;TRKPT; ; ;2017-08-16T10:39:16Z;1295,513916019999897;7536400,0000000;650652,0000000
30;0;ACTIVE LOG 025; ;TRKPT; ; ;2017-08-16T10:39:28Z;1298,397705079999923;7536410,0000000;650640,0000000
31;0;ACTIVE LOG 025; ;TRKPT; ; ;2017-08-16T10:39:40Z;1299,359130860000050;7536410,0000000;650630,0000000
32;0;ACTIVE LOG 025; ;TRKPT; ; ;2017-08-16T10:42:30Z;1302,242919920000077;7536410,0000000;650619,0000000
33;0;ACTIVE LOG 025; ;TRKPT; ; ;2017-08-16T10:42:42Z;1301,281738279999900;7536410,0000000;650608,0000000
34;0;ACTIVE LOG 025; ;TRKPT; ; ;2017-08-16T10:42:55Z;1302,723632810000026;7536410,0000000;650598,0000000
35;0;ACTIVE LOG 025; ;TRKPT; ; ;2017-08-16T10:43:08Z;1304,165771480000103;7536410,0000000;650588,0000000
36;0;ACTIVE LOG 025; ;TRKPT; ; ;2017-08-16T10:46:28Z;1304,165771480000103;7536410,0000000;650581,0000000
37;0;ACTIVE LOG 025; ;TRKPT; ; ;2017-08-16T10:46:39Z;1304,646240230000103;7536410,0000000;650571,0000000
38;0;ACTIVE LOG 025; ;TRKPT; ; ;2017-08-16T10:46:51Z;1306,088134769999897;7536410,0000000;650562,0000000
39;0;ACTIVE LOG 025; ;TRKPT; ; ;2017-08-16T10:47:08Z;1306,568847660000074;7536410,0000000;650550,0000000
40;0;ACTIVE LOG 025; ;TRKPT; ; ;2017-08-16T10:48:07Z;1309,933593750000000;7536410,0000000;650542,0000000
41;0;ACTIVE LOG 025; ;TRKPT; ; ;2017-08-16T10:50:40Z;1309,933593750000000;7536410,0000000;650533,0000000
42;0;ACTIVE LOG 025; ;TRKPT; ; ;2017-08-16T10:50:53Z;1309,453125000000000;7536410,0000000;650523,0000000
43;0;ACTIVE LOG 025; ;TRKPT; ; ;2017-08-16T10:51:04Z;1309,933593750000000;7536420,0000000;650512,0000000
44;0;ACTIVE LOG 025; ;TRKPT; ; ;2017-08-16T10:51:17Z;1313,778808589999926;7536420,0000000;650502,0000000
45;0;ACTIVE LOG 025; ;TRKPT; ; ;2017-08-16T10:51:51Z;1320,027343750000000;7536410,0000000;650497,0000000
46;0;ACTIVE LOG 025; ;TRKPT; ; ;2017-08-16T10:54:15Z;1315,701660160000074;7536410,0000000;650486,0000000
47;0;ACTIVE LOG 025; ;TRKPT; ; ;2017-08-16T10:54:25Z;1315,220947269999897;7536410,0000000;650476,0000000
48;0;ACTIVE LOG 025; ;TRKPT; ; ;2017-08-16T10:54:36Z;1320,027343750000000;7536420,0000000;650466,0000000
49;0;ACTIVE LOG 025; ;TRKPT; ; ;2017-08-16T10:54:47Z;1319,546875000000000;7536420,0000000;650457,0000000
50;0;ACTIVE LOG 025; ;TRKPT; ; ;2017-08-16T10:54:57Z;1318,104736329999923;7536410,0000000;650447,0000000
51;0;ACTIVE LOG 025; ;TRKPT; ; ;2017-08-16T10:57:47Z;1329,159912110000050;7536420,0000000;650446,0000000
52;0;ACTIVE LOG 025; ;TRKPT; ; ;2017-08-16T10:58:01Z;1328,679443360000050;7536410,0000000;650435,0000000
53;0;ACTIVE LOG 025; ;TRKPT; ; ;2017-08-16T10:58:11Z;1328,679443360000050;7536420,0000000;650424,0000000
54;0;ACTIVE LOG 025; ;TRKPT; ; ;2017-08-16T10:58:21Z;1327,718017579999923;7536420,0000000;650414,0000000
55;0;ACTIVE LOG 025; ;TRKPT; ; ;2017-08-16T10:58:32Z;1331,082763670000077;7536410,0000000;650403,0000000
56;0;ACTIVE LOG 025; ;TRKPT; ; ;2017-08-16T11:01:30Z;1330,121337889999950;7536420,0000000;650398,0000000
57;0;ACTIVE LOG 025; ;TRKPT; ; ;2017-08-16T11:01:42Z;1333,005126949999976;7536420,0000000;650388,0000000
58;0;ACTIVE LOG 025; ;TRKPT; ; ;2017-08-16T11:01:54Z;1332,524658199999976;7536420,0000000;650377,0000000
59;0;ACTIVE LOG 025; ;TRKPT; ; ;2017-08-16T11:02:06Z;1333,005126949999976;7536420,0000000;650366,0000000
60;0;ACTIVE LOG 025; ;TRKPT; ; ;2017-08-16T11:02:16Z;1331,563232420000077;7536420,0000000;650357,0000000
61;0;ACTIVE LOG 025; ;TRKPT; ; ;2017-08-16T11:03:02Z;1332,524658199999976;7536410,0000000;650346,0000000
62;0;ACTIVE LOG 025; ;TRKPT; ; ;2017-08-16T11:05:39Z;1337,331054689999974;7536420,0000000;650340,0000000
63;0;ACTIVE LOG 025; ;TRKPT; ; ;2017-08-16T11:05:49Z;1335,889160160000074;7536420,0000000;650329,0000000
64;0;ACTIVE LOG 025; ;TRKPT; ; ;2017-08-16T11:06:02Z;1337,331054689999974;7536420,0000000;650319,0000000
65;0;ACTIVE LOG 025; ;TRKPT; ; ;2017-08-16T11:06:43Z;1335,408447269999897;7536420,0000000;650314,0000000
66;0;ACTIVE LOG 025; ;TRKPT; ; ;2017-08-16T11:06:55Z;1337,331054689999974;7536420,0000000;650325,0000000
67;0;ACTIVE LOG 025; ;TRKPT; ; ;2017-08-16T11:11:55Z;1340,695800779999900;7536420,0000000;650327,0000000
