FID;ID;Northing;Easting;MSL;Comment;Corr_Type;GPS_Date;GPS_Time;Vert_Prec;Horz_Prec;Std_Dev;field_12;field_13
0;sten;7536302,173999999649823;651364,265000000013970;1180,893000000000029; ;Postprocessed Carrier Fixed;2019-08-05;11;27;30;0,013000000000000;0,010000000000000;0,012992000000000
1;1 (front);7536352,764999999664724;651249,241000000038184;1172,442999999999984; ;Postprocessed Carrier Fixed;2019-08-05;12;19;18;0,013000000000000;0,010000000000000;0,006782000000000
2;2;7536370,489000000059605;651162,917000000015832;1190,772999999999911; ;Postprocessed Carrier Fixed;2019-08-05;12;58;15;0,014000000000000;0,010000000000000;0,008969000000000
3;3;7536374,516999999992549;651112,986999999964610;1203,003999999999905;correct;Postprocessed Carrier Fixed;2019-08-05;13;5;8;0,015000000000000;0,010000000000000;0,008827000000000
4;4;7536378,292000000365078;651052,929000000003725;1216,540999999999940; ;Postprocessed Carrier Fixed;2019-08-05;13;10;56;0,013000000000000;0,010000000000000;0,008817000000000
5;5;7536380,872000000439584;651012,082000000053085;1225,087999999999965; ;Postprocessed Carrier Fixed;2019-08-05;13;14;53;0,013000000000000;0,010000000000000;0,010073000000000
6;6;7536382,394000000320375;650973,748999999952503;1232,586999999999989; ;Postprocessed Carrier Fixed;2019-08-05;13;18;50;0,010000000000000;0,010000000000000;0,008044000000000
7;7;7536382,446999999694526;650939,373000000021420;1239,674999999999955; ;Postprocessed Carrier Fixed;2019-08-05;13;22;24;0,012000000000000;0,010000000000000;0,009464000000000
8;8;7536384,549999999813735;650894,263999999966472;1247,971999999999980; ;Postprocessed Carrier Fixed;2019-08-05;13;26;29;0,014000000000000;0,010000000000000;0,009614000000000
9;9;7536387,618999999947846;650848,854999999981374;1255,535000000000082; ;Postprocessed Carrier Fixed;2019-08-05;13;30;27;0,012000000000000;0,010000000000000;0,006473000000000
10;10;7536390,748999999836087;650808,042999999946915;1262,381000000000085; ;Postprocessed Carrier Fixed;2019-08-05;13;34;34;0,014000000000000;0,010000000000000;0,007547000000000
11;11;7536393,752999999560416;650760,771999999997206;1270,492999999999938; ;Postprocessed Carrier Fixed;2019-08-05;13;38;41;0,014000000000000;0,010000000000000;0,011611000000000
12;12;7536396,898000000044703;650715,479999999981374;1278,269000000000005; ;Postprocessed Carrier Fixed;2019-08-05;13;44;36;0,015000000000000;0,010000000000000;0,009272000000000
13;13;7536401,800999999977648;650673,472999999998137;1285,521999999999935; ;Postprocessed Carrier Fixed;2019-08-05;13;48;16;0,018000000000000;0,012000000000000;0,012636000000000
14;14;7536404,456000000238419;650629,601000000024214;1293,011999999999944; ;Postprocessed Carrier Fixed;2019-08-05;13;51;58;0,021000000000000;0,012000000000000;0,010966000000000
15;15;7536406,768000000156462;650586,692999999970198;1300,140000000000100; ;Postprocessed Carrier Fixed;2019-08-05;13;55;9;0,015000000000000;0,010000000000000;0,008552000000000
16;16;7536409,617999999783933;650539,207999999984168;1307,597999999999956; ;Postprocessed Carrier Fixed;2019-08-05;13;58;38;0,014000000000000;0,010000000000000;0,011295000000000
17;17;7536413,046000000089407;650490,785000000032596;1314,681000000000040; ;Postprocessed Carrier Fixed;2019-08-05;14;3;7;0,012000000000000;0,010000000000000;0,006182000000000
18;18;7536415,201999999582767;650448,923999999999069;1319,667999999999893; ;Postprocessed Carrier Fixed;2019-08-05;14;7;30;0,014000000000000;0,010000000000000;0,009911000000000
19;19;7536417,856999999843538;650404,050999999977648;1324,558999999999969; ;Postprocessed Carrier Fixed;2019-08-05;14;11;20;0,016000000000000;0,011000000000000;0,013624000000000
20;20;7536422,231999999843538;650342,738999999943189;1330,311999999999898; ;Postprocessed Carrier Fixed;2019-08-05;14;16;58;0,012000000000000;0,010000000000000;0,011287000000000
21;21;7536424,071000000461936;650309,256000000052154;1333,276000000000067; ;Postprocessed Carrier Fixed;2019-08-05;14;21;38;0,010000000000000;0,010000000000000;0,006513000000000
22;22;7536425,305999999865890;650264,777000000001863;1336,481999999999971; ;Postprocessed Carrier Fixed;2019-08-05;14;25;9;0,013000000000000;0,010000000000000;0,011900000000000
23;23;7536431,138000000268221;650162,628000000026077;1344,382000000000062; ;Postprocessed Carrier Fixed;2019-08-05;14;55;38;0,010000000000000;0,010000000000000;0,009493000000000
24;24;7536436,894999999552965;650099,861999999964610;1349,093000000000075; ;Postprocessed Carrier Fixed;2019-08-05;14;59;38;0,010000000000000;0,010000000000000;0,009115000000000
25;25;7536437,554999999701977;650037,589999999967404;1353,982999999999947; ;Postprocessed Carrier Fixed;2019-08-05;15;5;56;0,010000000000000;0,010000000000000;0,005723000000000
