FID;id;POINT_X;POINT_Y
0;0;651525,526625000056811;7536357,954869999550283
1;0;651188,440337999956682;7536367,683770000003278
2;12;651019,382710000034422;7536374,210199999623001
3;13;650998,892771000042558;7536379,346409999765456
4;14;650981,860538000008091;7536379,284919999539852
5;15;650967,401866000029258;7536381,980039999820292
6;16;650950,659173000021838;7536384,169809999875724
7;17;650934,927862999960780;7536383,439679999835789
8;18;650917,513920000055805;7536383,914920000359416
9;19;650901,083193999947980;7536385,564629999920726
10;20;650885,684679000056349;7536386,343639999628067
11;21;650870,425917000044137;7536387,130870000459254
12;22;650857,182562000001781;7536388,221690000034869
13;23;650840,381655000033788;7536387,802229999564588
14;24;650824,208910000044852;7536389,839800000190735
15;25;650808,450332000036724;7536390,784479999914765
16;26;650791,165459000039846;7536391,454260000027716
17;27;650775,062662999960594;7536393,496209999546409
18;28;650758,063002999988385;7536392,879529999569058
19;29;650740,804872000007890;7536394,295920000411570
20;30;650725,202027000021189;7536396,181069999933243
21;31;650711,260143000050448;7536397,232010000385344
22;33;650693,018803999992087;7536397,474440000019968
23;34;650675,486950000049546;7536397,572080000303686
24;35;650658,718010999960825;7536399,017459999769926
25;36;650640,664744999958202;7536399,643550000153482
26;38;650623,508999999961816;7536400,508129999972880
27;39;650606,718561999965459;7536402,324950000271201
28;40;650589,466255999985151;7536402,439410000108182
29;41;650570,687214000034146;7536404,699450000189245
30;42;650552,795347000006586;7536404,963170000351965
31;43;650534,741803999990225;7536408,010339999571443
32;44;650515,979230000055395;7536408,782270000316203
33;45;650498,522615000023507;7536410,002550000324845
34;46;650480,211617000051774;7536410,242420000024140
35;47;650462,948652000050060;7536410,543279999867082
36;48;650444,938384999986738;7536412,848849999718368
37;49;650430,781962999957614;7536412,771730000153184
38;50;650417,216516999993473;7536414,590800000354648
39;51;650400,953305999981239;7536414,577739999629557
40;52;650383,007508000009693;7536418,190740000456572
41;53;650363,573482000036165;7536417,249169999733567
42;54;650347,433787000016309;7536418,733049999922514
43;55;650327,822257000021636;7536419,643249999731779
