"ID","Northing","Easting","MSL","Comment","Corr Type","GPS Date","GPS Time","Vert Prec","Horz Prec","Std Dev"
1,7537385.604,651454.283,1131.706,"test","RTK Fixed","2022/08/06","07:26:16",0.037,0.021,0.037053
2,7536417.066,650329.460,1333.314,"55","Uncorrected","2022/08/06","09:22:30",4.211,2.562,0.067394
3,7536416.903,650329.310,1333.279,"55 2 attempt","Uncorrected","2022/08/06","09:23:30",4.011,2.391,0.057750
4,7536414.689,650349.910,1330.712,"53","Uncorrected","2022/08/06","09:27:15",4.086,2.475,14.825862
5,7536411.198,650401.935,1325.297,"51","Uncorrected","2022/08/06","09:33:27",4.002,2.482,0.012174
6,7536410.156,650431.968,1322.003,"49","Uncorrected","2022/08/06","09:38:00",3.953,2.444,0.017670
7,7536407.758,650462.723,1317.138,"47","Uncorrected","2022/08/06","09:42:35",3.573,2.268,0.018936
8,7536406.870,650498.465,1311.723,"45","Uncorrected","2022/08/06","09:46:14",3.586,2.238,0.022698
9,7536405.492,650533.934,1308.653,"43","Uncorrected","2022/08/06","09:48:47",3.504,2.172,0.007614
10,7536401.966,650569.003,1303.363,"41","Uncorrected","2022/08/06","09:51:53",3.706,2.340,0.087447
11,7536398.841,650607.048,1296.269,"39","Uncorrected","2022/08/06","09:55:45",3.473,2.148,0.011864
12,7536395.923,650640.454,1290.331,"37","Uncorrected","2022/08/06","09:57:50",3.533,2.185,0.354216
13,7536394.553,650676.844,1283.999,"35","Uncorrected","2022/08/06","10:02:32",3.641,2.197,0.016019
14,7536394.571,650711.528,1278.109,"33","Uncorrected","2022/08/06","10:05:21",3.694,2.208,0.053645
15,7536392.556,650742.256,1271.603,"31","Uncorrected","2022/08/06","10:07:27",3.947,2.521,0.017012
16,7536391.312,650775.670,1264.806,"29","Uncorrected","2022/08/06","10:10:45",3.594,2.233,0.038524
17,7536388.330,650809.890,1258.984,"27","Uncorrected","2022/08/06","10:13:08",3.882,2.304,0.012573
18,7536385.898,650840.301,1253.319,"25","Uncorrected","2022/08/06","10:15:31",3.600,2.175,0.003969
19,7536385.810,650871.767,1247.666,"23","Uncorrected","2022/08/06","10:17:48",3.777,2.197,0.099515
20,7536383.297,650901.985,1242.505,"21","Uncorrected","2022/08/06","10:19:51",3.991,2.383,0.011168
21,7536382.290,650936.106,1235.584,"19","Uncorrected","2022/08/06","10:21:47",4.026,2.270,0.006580
22,7536379.696,650967.907,1229.641,"17","Uncorrected","2022/08/06","10:24:38",4.329,2.351,0.098938
23,7536376.574,650998.807,1223.586,"15","Uncorrected","2022/08/06","10:27:49",3.985,2.182,0.010220
24,7536373.139,651037.788,1213.260,"13","Uncorrected","2022/08/06","10:48:24",4.783,2.417,0.071155
25,7536371.554,651070.261,1206.530,"11","Uncorrected","2022/08/06","10:50:53",4.705,2.381,0.047546
26,7536369.119,651106.124,1198.606,"9","Uncorrected","2022/08/06","10:53:52",5.246,2.502,0.012002
27,7536368.432,651144.164,1193.061,"7","Uncorrected","2022/08/06","10:56:21",4.635,2.237,0.019117
28,7536368.411,651168.717,1186.847,"5","Uncorrected","2022/08/06","10:58:31",4.833,2.361,0.009023
29,7536366.640,651190.505,1179.240,"3","Uncorrected","2022/08/06","11:01:08",4.769,2.222,0.135721
30,7536361.206,651222.875,1172.173,"1","Uncorrected","2022/08/06","11:11:39",4.295,2.146,0.039040
31,7536351.034,651525.430,1114.483,"p40","Uncorrected","2022/08/06","11:58:54",5.234,2.651,0.090709
