,point id,hd,vd,hor. angle,note,Y,X
11,P12,714.575,57.019,48.502,,"7536367,683770000003278","651188,440337999956682"
12,P13,730.147,59.121,48.502,crossing meltwater channel,"7536374,210199999623001","651019,382710000034422"
13,P14,747.823,61.517,48.501,,"7536379,346409999765456","650998,892771000042558"
14,P15,765.776,63.969,48.501,,"7536379,284919999539852","650981,860538000008091"
15,P16,780.513,65.967,48.501,,"7536381,980039999820292","650967,401866000029258"
16,P17,796.219,68.12,48.501,,"7536384,169809999875724","650950,659173000021838"
17,P18,813.199,70.391,48.5005,,"7536383,439679999835789","650934,927862999960780"
18,P19,830.69,72.774,48.501,,"7536383,914920000359416","650917,513920000055805"
19,P20,846.096,74.787,48.5015,,"7536385,564629999920726","650901,083193999947980"
20,P21,862.239,77.102,48.5015,,"7536386,343639999628067","650885,684679000056349"
21,P22,877.337,79.238,48.5015,,"7536387,130870000459254","650870,425917000044137"
22,P23,893.023,80.925,48.5005,,"7536388,221690000034869","650857,182562000001781"
23,P24,908.438,82.884,48.499,,"7536387,802229999564588","650840,381655000033788"
24,P25,924.411,85.001,48.499,,"7536389,839800000190735","650824,208910000044852"
25,P26,940.163,87.061,48.499,,"7536390,784479999914765","650808,450332000036724"
26,P27,957.776,89.429,48.498,,"7536391,454260000027716","650791,165459000039846"
27,P28,973.932,91.525,48.499,,"7536393,496209999546409","650775,062662999960594"
28,P29,990.211,93.872,48.498,,"7536392,879529999569058","650758,063002999988385"
30,P31,1028.777,102.76,48.498,,"7536396,181069999933243","650725,202027000021189"
32,P33,1045.14,104.366,48.498,,"7536397,232010000385344","650711,260143000050448"
33,P34,1061.8,105.995,48.4875,,"7536397,474440000019968","650693,018803999992087"
34,P35,1078.349,107.652,48.498,,"7536397,572080000303686","650675,486950000049546"
35,P36,1095.691,109.416,48.4975,,"7536399,017459999769926","650658,718010999960825"
36,P37,1113.237,111.221,48.4985,,"7536399,643550000153482","650640,664744999958202"
37,P38,1130.504,113.012,48.498,,"7536400,508129999972880","650623,508999999961816"
38,P39,1147.979,114.823,48.4985,,"7536402,324950000271201","650606,718561999965459"
39,P40,1166.559,116.79,48.498,,"7536402,439410000108182","650589,466255999985151"
40,P41,1185.282,118.785,48.4975,,"7536404,699450000189245","650570,687214000034146"
41,P42,1202.725,120.648,48.4975,,"7536404,963170000351965","650552,795347000006586"
42,P43,1220.512,122.554,48.498,,"7536408,010339999571443","650534,741803999990225"
43,P44,1238.75,124.494,48.4975,,"7536408,782270000316203","650515,979230000055395"
44,P45,1256.649,126.379,48.4975,,"7536410,002550000324845","650498,522615000023507"
45,P46,1275.057,128.383,48.4975,,"7536410,242420000024140","650480,211617000051774"
46,P47,1293.15,130.267,48.4965,,"7536410,543279999867082","650462,948652000050060"
47,P48,1310.359,132.118,48.4975,,"7536412,848849999718368","650444,938384999986738"
48,P49,1323.845,133.514,48.4975,,"7536412,771730000153184","650430,781962999957614"
49,P50,1338.655,135.09,48.498,,"7536414,590800000354648","650417,216516999993473"
50,P51,1353.393,136.628,48.4975,,"7536414,577739999629557","650400,953305999981239"
51,P52,1371.265,138.431,48.497,,"7536418,190740000456572","650383,007508000009693"
52,P53,1390.161,140.446,48.498,,"7536417,249169999733567","650363,573482000036165"
53,P54,1407.762,142.139,48.4985,,"7536418,733049999922514","650347,433787000016309"
54,P55,1427.143,144.125,48.495,,"7536419,643249999731779","650327,822257000021636"
